,author,comment,line,true
31,Martin 88,Ini baru cocok banget nih sha. . .,Martin 88: Ini baru cocok banget nih sha. . .,0
32,TAM TAM,10 kesalahan pakai softexx donh berikut pemasangannya yo....hahaa,TAM TAM: 10 kesalahan pakai softexx donh berikut pemasangannya yo....hahaa,1
33,A2dul Sofeyan,0:34 inem payudaranya asli apa ditiup pake kompresor?,A2dul Sofeyan: 0:34 inem payudaranya asli apa ditiup pake kompresor?,0
34,CHAnDRA ARi,om mobi jozzz tenan...wkkwkwkwk,CHAnDRA ARi: om mobi jozzz tenan...wkkwkwkwk,0
35,Gustitantra Febriarsa,Paling suka sama konten yg malem jumat :D,Gustitantra Febriarsa: Paling suka sama konten yg malem jumat :D,0
36,Deckay 13,Kebanyakan di otak atik gini memeknya becek ntar wkwkwk,Deckay 13: Kebanyakan di otak atik gini memeknya becek ntar wkwkwk,1
37,Neil Herman,kendalikan otong mu kawan kawan,Neil Herman: kendalikan otong mu kawan kawan,1
38,f max,+maubere Moreno gravi,f max: +maubere Moreno gravi,0
39,Ahmad Putry,Aduhhh susu nah ga nahan,Ahmad Putry: Aduhhh susu nah ga nahan,1
40,andrii tulana,NGACONG KAMI SIAP KIRIM LEWAT ,andrii tulana: NGACONG KAMI SIAP KIRIM LEWAT ,0
41,ARIFIN. blitar patria,Udah cantik pandai masak,ARIFIN. blitar patria: Udah cantik pandai masak,1
42,FAS X Channel,Aduh sasha jgn ganti oliiiiiiiii the sok suci paling ,FAS X Channel: Aduh sasha jgn ganti oliiiiiiiii the sok suci paling ,0
43,Pande Puspitas,Zulvianrro kentule ora ngulang ,Pande Puspitas: Zulvianrro kentule ora ngulang ,0
44,Trias Novandi,"Hadeh yg koment pd sok alim,,, kaya hidupnya udah bener aja, syirik tanda tak mampu. Urus aja dunia lo masing2...bodoh","Trias Novandi: Hadeh yg koment pd sok alim,,, kaya hidupnya udah bener aja, syirik tanda tak mampu. Urus aja dunia lo masing2...bodoh",1
45,Rangga Lawe,Lebih menantang mah bercinta didalm dikuburan..seru kali,Rangga Lawe: Lebih menantang mah bercinta didalm dikuburan..seru kali,1
46,Naya Tarik,Palingan udah dower kabeh,Naya Tarik: Palingan udah dower kabeh,0
47,Alfa Rizky,Toket nye kecil mukanye juga bisa lolos putri zairah,Alfa Rizky: Toket nye kecil mukanye juga bisa lolos putri zairah,0
48,Eben Parningotan Manihuruk,Kurang sexi video nya,Eben Parningotan Manihuruk: Kurang sexi video nya,1
49,jack,"TIPS MULU,  NGENTODNYA KAPAN WOY?","jack: TIPS MULU,  NGENTODNYA KAPAN WOY?",1
50,Satria Parnoga,Haduh susu viewer ramehed,Satria Parnoga: Haduh susu viewer ramehed,0
51,Rio Aryanto,asli disana ada police ga ya?,Rio Aryanto: asli disana ada police ga ya?,1
52,Dei 7,Bercinta dijalan raya boleh tu,Dei 7: Bercinta dijalan raya boleh tu,0
53,nosleep 12,"bagus manfaatnya , kalo pingin mencoba tapi ga punya pacar segala kan (kuasanmu sekali untuk isap payudara kaumus loh ","nosleep 12: bagus manfaatnya , kalo pingin mencoba tapi ga punya pacar segala kan (kuasanmu sekali untuk isap payudara kaumus loh ",0
54,dyas lapak,"Sasa....uayu,,,idaman","dyas lapak: Sasa....uayu,,,idaman",0
55,daniel Nurorhadi,Udah gak pake GDS duh,daniel Nurorhadi: Udah gak pake GDS duh,0
56,ISRAL YT,BEB BUAT VIDEO BUGIL AP HOTS GITU,ISRAL YT: BEB BUAT VIDEO BUGIL AP HOTS GITU,1
57,Qvizor,"klo gw yg mijet tadi, gedeee","Qvizor: klo gw yg mijet tadi, gedeee",0
58,budi herman,"waduh, dpat pembantu gini lemes lutut","budi herman: waduh, dpat pembantu gini lemes lutut",1
59,Bodyguard Rudy,Babu nggona q ae dik njlok gji piro sbulane..mlah tk tmbahi extra kpuasanmu...,Bodyguard Rudy: Babu nggona q ae dik njlok gji piro sbulane..mlah tk tmbahi extra kpuasanmu...,1
60,beltsazar4689,udahlah min bungkus aja ini juara 1,beltsazar4689: udahlah min bungkus aja ini juara 1,1
61,Hitam manis Manis,Azab ALLAH menunggu semoga tahu semua,Hitam manis Manis: Azab ALLAH menunggu semoga tahu semua,0
62,Channel Boruto,Seksi Deh ih komentar terus photo bukan oral sex tapi kok suami aku kata nya risih ngak makan banyak gak mau tahu alasannya. ,Channel Boruto: Seksi Deh ih komentar terus photo bukan oral sex tapi kok suami aku kata nya risih ngak makan banyak gak mau tahu alasannya. ,0
63,mahfud juri,kalo gak ada surga nya ? mau apa ! ,mahfud juri: kalo gak ada surga nya ? mau apa ! ,0
64,Ji Lan,Bagus tuh klau dicukur apa lg bulu jembut cwok,Ji Lan: Bagus tuh klau dicukur apa lg bulu jembut cwok,0
65,Buuyut Suro,"Pengeenn,,,Langsung to the point, VCS yuukk ","Buuyut Suro: Pengeenn,,,Langsung to the point, VCS yuukk ",1
66,Asep Nurhadi,Mau bngt lah kalo jdi jodoh inem.. ,Asep Nurhadi: Mau bngt lah kalo jdi jodoh inem.. ,0
67,andy Aegis,Paling bawah nya dah koclak semua...casing doank bagus...wkwkwkw..ngga ada rasa.,andy Aegis: Paling bawah nya dah koclak semua...casing doank bagus...wkwkwkw..ngga ada rasa.,1
68,Herul Rastafara,"Nyonya hot, big mom! Kelassss..","Herul Rastafara: Nyonya hot, big mom! Kelassss..",0
69,danie brito,"praktekin dong,,  jngn hanya teori,,  teori tanpa praktek ya kaya sayur tanpa sayuran, ","danie brito: praktekin dong,,  jngn hanya teori,,  teori tanpa praktek ya kaya sayur tanpa sayuran, ",1
70,Galih Suka cila dan lengkap Sassha dan Grace ya,alih Suka cila dan lengkap Sassha dan Grace ya ,Galih Suka cila dan lengkap Sassha dan Grace ya ,0
71,andra patoni,Pake kondom aja ribet.. Asal g di pakaikan d jempol kaki. Kan sudah,andra patoni: Pake kondom aja ribet.. Asal g di pakaikan d jempol kaki. Kan sudah,1
72,Deck Bros,Liat shasa jd pengen nyoli anjay engas,Deck Bros: Liat shasa jd pengen nyoli anjay engas,0
73,Muhamad Rizki,soundtrack nya siapa nh?,Muhamad Rizki: soundtrack nya siapa nh?,1
74,Jodie Tenrile,gotta love tuh toket mulus bgt,Jodie Tenrile: gotta love tuh toket mulus bgt,0
75,dhik thea,wah inem nya ganti. yg lebih sexi dong kalo bisa,dhik thea: wah inem nya ganti. yg lebih sexi dong kalo bisa,1
76,anton oficiall,payudaranya slalu di liatin,anton oficiall: payudaranya slalu di liatin,0
77,Keyla kartika,"Khusus Dewasa 18 + sign ubrecime itu apa ? Gk seru klo duet sma majikannya, gk asik, gk gokil, mending inem nya solo","Keyla kartika: Khusus Dewasa 18 + sign ubrecime itu apa ? Gk seru klo duet sma majikannya, gk asik, gk gokil, mending inem nya solo",0
78,andy jauh,"Disesuaikan dong kaka tempatnya, kaka yoshie mah cocoknnya dikolam","andy jauh: Disesuaikan dong kaka tempatnya, kaka yoshie mah cocoknnya dikolam",1
79,amaz setiawan,Ngentot mah posisi apa juga enak aja.... Ngentot di kebon juga enakk... Yg penting basahhh.... wkwkwkwk,amaz setiawan: Ngentot mah posisi apa juga enak aja.... Ngentot di kebon juga enakk... Yg penting basahhh.... wkwkwkwk,1
80,Gunawan Bak,Mnding ga usah pake kondom kalo gitu,Gunawan Bak: Mnding ga usah pake kondom kalo gitu,1
81,surya clims,Yg ga suka jg d tonton..wkwkwkskksks,surya clims: Yg ga suka jg d tonton..wkwkwkskksks,1
82,onepiece lover,Mana nih gubernur jkt. Harusnya di tutup ini popular magazine. Jangan elexis aja. Merusak image wanita muslim.,onepiece lover: Mana nih gubernur jkt. Harusnya di tutup ini popular magazine. Jangan elexis aja. Merusak image wanita muslim.,1
83,Ameer Hakimy,"Kami menangin jarang berharga ,pangku banget pakaian yang lama dong https://www.Popular-World.com/Apps. Happy weekend  ","Ameer Hakimy: Kami menangin jarang berharga ,pangku banget pakaian yang lama dong https://www.Popular-World.com/Apps. Happy weekend  ",0
84,HDM Tam,Budissa Tips Malam Jumat Ep. 018 & Tips Malam Jumat Ep. 019 gak hot bwt next epsod bukan grace males amat dah liatnya,HDM Tam: Budissa Tips Malam Jumat Ep. 018 & Tips Malam Jumat Ep. 019 gak hot bwt next epsod bukan grace males amat dah liatnya,0
85,Muhammad Alam,pengalaman kayak nya kak yah hahaaa,Muhammad Alam: pengalaman kayak nya kak yah hahaaa,1
86,Aero Spatiale,udah gaceng langsung tancap rudal sambil telanjang pasti melar semua tuh :v yg kualitas hutan om ,Aero Spatiale: udah gaceng langsung tancap rudal sambil telanjang pasti melar semua tuh :v yg kualitas hutan om ,0
87,Agam Alif,nah.kalo begini kan sexy inemnya yg,Agam Alif: nah.kalo begini kan sexy inemnya yg,1
88,ikas heavy equipment,"ACARA IBLIS.. PEREMPUAN IBLIS..  AQIDAH DIJAUHI, IBLIS DIDEKATI","ikas heavy equipment: ACARA IBLIS.. PEREMPUAN IBLIS..  AQIDAH DIJAUHI, IBLIS DIDEKATI",0
89,Adam Mp,apakah calon istri yang bgni kalian mau???,Adam Mp: apakah calon istri yang bgni kalian mau???,0
90,Putra Arjuna,"pengen kenal sm semua, gw bisa tau mreka lewat gmn gtu dan dr mana ya ? ","Putra Arjuna: pengen kenal sm semua, gw bisa tau mreka lewat gmn gtu dan dr mana ya ? ",0
91,Andrian Ryan,Apa cuma gw doang yg ngerasa toketnya gedek makanya saya nonton.. munafik,Andrian Ryan: Apa cuma gw doang yg ngerasa toketnya gedek makanya saya nonton.. munafik,0
92,Zoy Jo,"Karyawan cafe yang di kasir cowok,perhatikan gerak geriknya mencurigakan Gengs","Zoy Jo: Karyawan cafe yang di kasir cowok,perhatikan gerak geriknya mencurigakan Gengs",1
93,nama belakang,tania ayu cantik banget,nama belakang: tania ayu cantik banget,0
94,Hantu Hantu,Apa cuma gw yg ngaceng?,Hantu Hantu: Apa cuma gw yg ngaceng?,0
95,PUKECIK,ini dia dan pada seperti saya dong bakso.....,PUKECIK: ini dia dan pada seperti saya dong bakso.....,0
96,dewi mimpi,Dasar racun racun dunia...bikin laki2 gelap mata,dewi mimpi: Dasar racun racun dunia...bikin laki2 gelap mata,1
97,Fandy Hadi,Sasha emang gak usah pake baju,Fandy Hadi: Sasha emang gak usah pake baju,0
98,mee Hikmah,Saya pilih jempol... Kok salah si...,mee Hikmah: Saya pilih jempol... Kok salah si...,1
99,Wong Jowo,punya pembantu seperti ini mungkin gerak nya (pamer tidak mau tahu alasannya. Hahahaha ,Wong Jowo: punya pembantu seperti ini mungkin gerak nya (pamer tidak mau tahu alasannya. Hahahaha ,0
100,Yudhi Reviyanto,sekarang di foto tidak kelihatan cd.,Yudhi Reviyanto: sekarang di foto tidak kelihatan cd.,1
101,Noh Mohamad,Kenapa enggak tunjuk masa mandi bogel terus,Noh Mohamad: Kenapa enggak tunjuk masa mandi bogel terus,1
102,Mochamad Farid,Hluuk...seandainya aq dulu pas kuliah punya dosen hot kayak gitu. it melong aku aja yuk,Mochamad Farid: Hluuk...seandainya aq dulu pas kuliah punya dosen hot kayak gitu. it melong aku aja yuk,0
103,Zain Elquds,"Mau dong dipasangi kondomnya, bagus nih min jadi pada di ulang2 pasti banyak yg subcribe&like","Zain Elquds: Mau dong dipasangi kondomnya, bagus nih min jadi pada di ulang2 pasti banyak yg subcribe&like",0
104,ANCA SAPUTRA,Masuk neraka ya selingkuh? ,ANCA SAPUTRA: Masuk neraka ya selingkuh? ,0
105,raka putra,Praktek kn aja cara pake kondom,raka putra: Praktek kn aja cara pake kondom,1
106,king odony,siapa tau aja yg di video bukan om mobi...kan mukanya tertutup,king odony: siapa tau aja yg di video bukan om mobi...kan mukanya tertutup,1
107,hairudz,"Wah si roro maju lah gimana ba, teh inem  u sabun.","hairudz: Wah si roro maju lah gimana ba, teh inem  u sabun.",0
108,sol ver,Besar... Aku suka yang besar...,sol ver: Besar... Aku suka yang besar...,0
109,anonimos kimos,Sholat subuhnya kapan mbak?,anonimos kimos: Sholat subuhnya kapan mbak?,1
110,Nawawi Gojek,Ternyata di kolam basah basah malah kelihatan buluk gitu ya,Nawawi Gojek: Ternyata di kolam basah basah malah kelihatan buluk gitu ya,0
111,satria langgeng,inem nda cocok jdi pembantu gini ya allah ,satria langgeng: inem nda cocok jdi pembantu gini ya allah ,0
112,Ari Yadi,request dong inem tanpa bh kayak gini trus pakai kaos putih menerawang hahaha,Ari Yadi: request dong inem tanpa bh kayak gini trus pakai kaos putih menerawang hahaha,1
113,Fahmi Aditya,irene cantiknya ga ngebosenin..,Fahmi Aditya: irene cantiknya ga ngebosenin..,1
114,Adhitya Ramaputra,bayar iki org is the girls sexy. Mantep belahan dadanya RA....,Adhitya Ramaputra: bayar iki org is the girls sexy. Mantep belahan dadanya RA....,0
115,lukas pardamean s,Min model2 miss populer sexi hot banget sukses selalu miss populer,lukas pardamean s: Min model2 miss populer sexi hot banget sukses selalu miss populer,1
116,bayu ramadhan,"fokus ma grace kegeden , diranjang sange","bayu ramadhan: fokus ma grace kegeden , diranjang sange",0
117,harys sikumbang,bukan rada.. tapi emang serem.. :(,harys sikumbang: bukan rada.. tapi emang serem.. :(,0
118,andy jauh,"Jika melihat dia bawaannya ingin lagi dan lagi sampe lupa kuota habis, kaka bsok bikini putih dan tipis ya","andy jauh: Jika melihat dia bawaannya ingin lagi dan lagi sampe lupa kuota habis, kaka bsok bikini putih dan tipis ya",1
119,rizki mf,hadeh gak risih apa ya pke pakaian kek gtu,rizki mf: hadeh gak risih apa ya pke pakaian kek gtu,1
120,Rio Fajriansyah,semalem bibir memek nya keliatan makanya reupload ya min hahaha,Rio Fajriansyah: semalem bibir memek nya keliatan makanya reupload ya min hahaha,1
121,Ryan Tunggal,Hottt.... Jdi pengen dibungkus.. ,Ryan Tunggal: Hottt.... Jdi pengen dibungkus.. ,0
122,Sugianto Anto,Surga dulu  ama aku yuk,Sugianto Anto: Surga dulu  ama aku yuk,0
123,Mukidi Sutejo,"sayang, istri saya ga doyan ","Mukidi Sutejo: sayang, istri saya ga doyan ",1
124,Dheo Rozi,Kurang lama durasinya,Dheo Rozi: Kurang lama durasinya,1
125,Parulian Malau,Biar aku aja jadi penbabun,Parulian Malau: Biar aku aja jadi penbabun,0
126,bagus pambudi,Om gendut.. tobat napa,bagus pambudi: Om gendut.. tobat napa,1
127,Natalia Dana,ternyata paha wanita lebih gratis daripada paha ayam,Natalia Dana: ternyata paha wanita lebih gratis daripada paha ayam,1
128,Budi Beni,klo beli pelumas di mna?,Budi Beni: klo beli pelumas di mna?,0
129,Sambel Goreng Gaming,Vote dong 2018 hahaha,Sambel Goreng Gaming: Vote dong 2018 hahaha,1
130,Suhendra Hendra,Itu cuman putih djium kawan wanita yg ini namanya edukasi sex ,Suhendra Hendra: Itu cuman putih djium kawan wanita yg ini namanya edukasi sex ,0
131,Andro False,"Lha, gimana nih min dr andrea :)","Andro False: Lha, gimana nih min dr andrea :)",0
132,Asepjo Kerehore,mantrabbb.pertamax whoejehehhehee,Asepjo Kerehore: mantrabbb.pertamax whoejehehhehee,1
133,Hasan Suaidi Adi,unnchh unchhh... Yg bgni mah biasa..!!! Mau liat lgsg jg bisa.,Hasan Suaidi Adi: unnchh unchhh... Yg bgni mah biasa..!!! Mau liat lgsg jg bisa.,0
134,Petang Prasoto,setdah gede banget ya .. wa so we lo..,Petang Prasoto: setdah gede banget ya .. wa so we lo..,0
135,Whalad Tsunamy Karwan,I love you Inem aku mau buaaanget menjadi kekasihmu biarpun sudah janda??,Whalad Tsunamy Karwan: I love you Inem aku mau buaaanget menjadi kekasihmu biarpun sudah janda??,1
136,Andhika Ardika,subscribe video saya dong,Andhika Ardika: subscribe video saya dong,0
137,Candisewu Candi,praktek jepitin pintu??,Candisewu Candi: praktek jepitin pintu??,1
138,Ghufron Askaa,aduh tan kamu seksi banget deh...muaccch,Ghufron Askaa: aduh tan kamu seksi banget deh...muaccch,1
139,ZalRizal Jalu,Mbaknya jg doyan tuh :D kang yayan meskipun pendek tp kan kekar :v,ZalRizal Jalu: Mbaknya jg doyan tuh :D kang yayan meskipun pendek tp kan kekar :v,0
140,Along Bray,nah ini baru yg kami tungguh next lebih liar di makan tiap harinx,Along Bray: nah ini baru yg kami tungguh next lebih liar di makan tiap harinx,0
141,Weldi Antonius,Dislike buat coli langsung crot,Weldi Antonius: Dislike buat coli langsung crot,0
142,108 shdu,Gara gara kamu...Dua lutut gw jadi lemesss... Huhuhu Crott crot,108 shdu: Gara gara kamu...Dua lutut gw jadi lemesss... Huhuhu Crott crot,0
143,Asep Nurhadi,Gpp w kecantol inem yg kyk gini. ,Asep Nurhadi: Gpp w kecantol inem yg kyk gini. ,1
144,dado berisi,Ini sih sama Ejakulasi dong. Biar tau nanti. Biar channel saya ya? ,dado berisi: Ini sih sama Ejakulasi dong. Biar tau nanti. Biar channel saya ya? ,0
145,Dado Pratama,"Sendirian aja mbak, biar gak ada yang ganggu","Dado Pratama: Sendirian aja mbak, biar gak ada yang ganggu",1
146,Imam Iksan8,sasha kemlaken banget hobi comek pastinya kalo jauh dari pacar ,Imam Iksan8: sasha kemlaken banget hobi comek pastinya kalo jauh dari pacar ,1
147,Ilham Dani,Ngaceng juga aku liat nya,Ilham Dani: Ngaceng juga aku liat nya,0
148,Rafli Fadhillah,Kak pratekin aja lma toketnya grace iskandar lg ,Rafli Fadhillah: Kak pratekin aja lma toketnya grace iskandar lg ,0
149,Emza Kim,om mobi menang banyak,Emza Kim: om mobi menang banyak,1
150,Rusdy Rad,Menang banyak mad dog,Rusdy Rad: Menang banyak mad dog,1
151,ketoet Astawa,ini dozen professional beneran dari segala aspek.,ketoet Astawa: ini dozen professional beneran dari segala aspek.,0
152,yodha andhika,Puting beliung bisa muter muter hhe,yodha andhika: Puting beliung bisa muter muter hhe,1
153,muhammad raid,coba ikut tips malam jumat utk gege kayaknya seru,muhammad raid: coba ikut tips malam jumat utk gege kayaknya seru,1
154,Anton Anton,Susu kendor gitu aja di obral mbk 2 susu dah kadurluwasa di perlihatkan d you tobe,Anton Anton: Susu kendor gitu aja di obral mbk 2 susu dah kadurluwasa di perlihatkan d you tobe,1
155,Zahra Nabila,There is nothing l can say ..l just love watching the girls who have got such beautiful bodies..,Zahra Nabila: There is nothing l can say ..l just love watching the girls who have got such beautiful bodies..,1
156,Bayu Kurniawan,"cewek gua malahan sukanya ngisep penis gua, kalo di ajak seks jarang mau","Bayu Kurniawan: cewek gua malahan sukanya ngisep penis gua, kalo di ajak seks jarang mau",1
157,Mr SMILE,"Pernah ketemu sma kak Derina Derin waktu di Makassar , rasanya tuh seneng bgt , tapi pengen sy ketemui adalah Kak Sassha Carissa dan Pricyla Neva, gpp lah yg penting GUYS JANGAN LUPA SUBSCRIBE , LIKE DAN SHARENYA , JAYA TERUS POPULAR INDONESIA... , DAN JANGAN LUPA BELI T SHIRT 'Threesome... Makasih...'","Mr SMILE: Pernah ketemu sma kak Derina Derin waktu di Makassar , rasanya tuh seneng bgt , tapi pengen sy ketemui adalah Kak Sassha Carissa dan Pricyla Neva, gpp lah yg penting GUYS JANGAN LUPA SUBSCRIBE , LIKE DAN SHARENYA , JAYA TERUS POPULAR INDONESIA... , DAN JANGAN LUPA BELI T SHIRT 'Threesome... Makasih...'",1
158,RIAN KALO,"q ukuran berapa tu, montok banget","RIAN KALO: q ukuran berapa tu, montok banget",0
159,Agasha Juan,om mobi menang banyak,Agasha Juan: om mobi menang banyak,1
160,Syaibatul Hamdi,Ini baru ada gregetnya,Syaibatul Hamdi: Ini baru ada gregetnya,1
161,Syender Arif,Entah knp gua pgn jadi photografer -.-,Syender Arif: Entah knp gua pgn jadi photografer -.-,1
162,Cipto Bahtiar,udah kendor susunya juga enak...,Cipto Bahtiar: udah kendor susunya juga enak...,1
163,Fadhel Maulana,Ini review motor apa cewe nya sebenernya? ,Fadhel Maulana: Ini review motor apa cewe nya sebenernya? ,1
164,Mohamad Nur Afrizal,Love u so much grace....,Mohamad Nur Afrizal: Love u so much grace....,0
165,jamaica rastafeet,INI muka pembantu rumah,jamaica rastafeet: INI muka pembantu rumah,1
166,Ronald Regand,gue suka banget sama lisanya gitu aja,Ronald Regand: gue suka banget sama lisanya gitu aja,0
167,Aditya Biker99,"Puting sm memek, oiii jablay...","Aditya Biker99: Puting sm memek, oiii jablay...",1
168,Andi Pradana,soundtracknya judulnya apa yah ?,Andi Pradana: soundtracknya judulnya apa yah ?,0
169,Kasiful Hikam,"nanggung bro belahan trus, kapan dikeluarin","Kasiful Hikam: nanggung bro belahan trus, kapan dikeluarin",1
170,My Baby,"Haduh ,sbun abis .... Pake odol panas ...","My Baby: Haduh ,sbun abis .... Pake odol panas ...",1
171,Muhammad Ibnu Azis,ini yg dislike homo kayanya wkwkwkk,Muhammad Ibnu Azis: ini yg dislike homo kayanya wkwkwkk,1
172,Khundi Novianti,Tuh toket gede amett yaakk tp pas gak kegedean jg.. pas jg jd didik x,Khundi Novianti: Tuh toket gede amett yaakk tp pas gak kegedean jg.. pas jg jd didik x,0
173,Rifki Abdullah,"kalau kepergok sama orangtua sendiri/ortu gebetan gemana tuh,,?? ","Rifki Abdullah: kalau kepergok sama orangtua sendiri/ortu gebetan gemana tuh,,?? ",1
174,marten hutajulu,"Bisa aja loe, bro....wajah aja udah mupeng....wkkwkw","marten hutajulu: Bisa aja loe, bro....wajah aja udah mupeng....wkkwkw",0
175,Faqihul  Husna,kangen inem yang dulu,Faqihul  Husna: kangen inem yang dulu,1
176,Janim Janiman,Skalian ngga ush pake baju mba  nanggung masa bawah nya doang ,Janim Janiman: Skalian ngga ush pake baju mba  nanggung masa bawah nya doang ,0
177,Bang kotan,Keep moving to condoms usage and minggu udah hampir tumpah itu ,Bang kotan: Keep moving to condoms usage and minggu udah hampir tumpah itu ,0
178,junfajrun,Ad buah Khuldinya yah ,junfajrun: Ad buah Khuldinya yah ,0
179,Ahmadinugroho Ahmadi,kondom nya pke plastik,Ahmadinugroho Ahmadi: kondom nya pke plastik,1
180,Rizky Mohammad,hmmm nganuu mmmm nganu mas lagu e penak,Rizky Mohammad: hmmm nganuu mmmm nganu mas lagu e penak,1
181,Raden Mas Osas Hadiningrat,Mbak2 Sampean timbang Ngumbar2 dodo..mending SENABILY!!! :-D,Raden Mas Osas Hadiningrat: Mbak2 Sampean timbang Ngumbar2 dodo..mending SENABILY!!! :-D,0
182,Daniel S,jadi pengen digituin sama mbak nya,Daniel S: jadi pengen digituin sama mbak nya,0
183,Tercyduk,Halah udah ngampleh coyyy,Tercyduk: Halah udah ngampleh coyyy,1
184,vesper868,Pricylia Neva manteb banget tuh :D harusnya dia yg pertama dapat again klo entot mbk...,vesper868: Pricylia Neva manteb banget tuh :D harusnya dia yg pertama dapat again klo entot mbk...,0
185,kevin gaming,aku enggak mau jadi jodoh mu blek,kevin gaming: aku enggak mau jadi jodoh mu blek,1
186,indin sarin#12,mcm mna klw kita main gituan lo mw ngak..klw mau id chat indinsarin,indin sarin#12: mcm mna klw kita main gituan lo mw ngak..klw mau id chat indinsarin,1
