,author,comment,line,true
28,Sartiti Titi,"Alhmdllh, semoga ibu d tmpt q buat mereka yg tau.gus ramah misalnya dibanding2kan bgini,dan tau keluarga mad, semoga makin banyak orang yg hidupnya seperti mereka.  bukannya mewakili rakyat. .kok mimpi suriah","Sartiti Titi: Alhmdllh, semoga ibu d tmpt q buat mereka yg tau.gus ramah misalnya dibanding2kan bgini,dan tau keluarga mad, semoga makin banyak orang yg hidupnya seperti mereka.  bukannya mewakili rakyat. .kok mimpi suriah",0
29,,1:12:40 - 1:12:50 jiplak program ahok bos??sama tuh yg sering ahok bilang rumah susun sementara klo dah mampu pindah pnya rumah sndiri... anies2 tukang jeplak goblog!,: 1:12:40 - 1:12:50 jiplak program ahok bos??sama tuh yg sering ahok bilang rumah susun sementara klo dah mampu pindah pnya rumah sndiri... anies2 tukang jeplak goblog!,1
30,Wanti Pras,Saya warga jateng tetep dukung pak ganjar Dan alhmdllah pak ganjar unggul warga jateng pastinya masih setia sama pak ganjar,Wanti Pras: Saya warga jateng tetep dukung pak ganjar Dan alhmdllah pak ganjar unggul warga jateng pastinya masih setia sama pak ganjar,1
31,Mochammad Fauzan Ramadhan,Semangat pak polisi tembak mati aja jd nglantor bisa2 sama anggota DPR korupsi apa hubungannya sama dewi persik dll?,Mochammad Fauzan Ramadhan: Semangat pak polisi tembak mati aja jd nglantor bisa2 sama anggota DPR korupsi apa hubungannya sama dewi persik dll?,0
32,Budi Suprayitno,Mas ganjar oranowo kader ibu mega anak didik gemblengan ibu mega ga heran menang jos gandos sama bu trimahari suroboyo paasti penomena mak jleb kader kader pdip mantap saya anti partai kalo kader saya suka seperti adian napitupulu maruarar siraet ska els gamblang enak di cenak bahasanya,Budi Suprayitno: Mas ganjar oranowo kader ibu mega anak didik gemblengan ibu mega ga heran menang jos gandos sama bu trimahari suroboyo paasti penomena mak jleb kader kader pdip mantap saya anti partai kalo kader saya suka seperti adian napitupulu maruarar siraet ska els gamblang enak di cenak bahasanya,1
33,Dresthia Vino,saingan mudang masih aja banyak pasukan ke palestina.,Dresthia Vino: saingan mudang masih aja banyak pasukan ke palestina.,0
34,Angga N,Saya senang ada kamera yg kami surga buat bapak amin amin yarobbalallamin,Angga N: Saya senang ada kamera yg kami surga buat bapak amin amin yarobbalallamin,0
35,Salsabilla Ananda,"Subhanaallah , Mulia sekali bapak, Smoga Barokah ya pak.. Bahagia Dunia&Akhirat . Aamiin.","Salsabilla Ananda: Subhanaallah , Mulia sekali bapak, Smoga Barokah ya pak.. Bahagia Dunia&Akhirat . Aamiin.",1
36,Maulana Hasanuddin,Gue denger bapak Presiden ku jg ya gag terimah lah ya pak mt ya orang....maunya pede bangetttt....PPSI,Maulana Hasanuddin: Gue denger bapak Presiden ku jg ya gag terimah lah ya pak mt ya orang....maunya pede bangetttt....PPSI,0
37,SAVERI KONVEMBUR,"ini namanya sopan santri soekarnohatta, sulawesi, paslon orang tuanya aja..seneng bgt liat bu rismaaa..","SAVERI KONVEMBUR: ini namanya sopan santri soekarnohatta, sulawesi, paslon orang tuanya aja..seneng bgt liat bu rismaaa..",0
38,Bapak Wartono,"tdk perlu tanggapinya pak mario yang benar. motivator apa harus di tulis . kenapa gak segede ?  Cb overa macem apa kmi drama  , ,","Bapak Wartono: tdk perlu tanggapinya pak mario yang benar. motivator apa harus di tulis . kenapa gak segede ?  Cb overa macem apa kmi drama  , ,",0
39,Emza Kim,udah ada kok...google voice itu mah,Emza Kim: udah ada kok...google voice itu mah,1
40,Dzie Dunn,"Ahok boleh saja jadi capres ,Cawapres.knpa Prabowo kok bisa ,kasusnya lebih Parah lg.","Dzie Dunn: Ahok boleh saja jadi capres ,Cawapres.knpa Prabowo kok bisa ,kasusnya lebih Parah lg.",1
41,MALINGSIAL officialTVBANGSAPELACUR,Sudah Basi Bagi Antara Indonesia ,MALINGSIAL officialTVBANGSAPELACUR: Sudah Basi Bagi Antara Indonesia ,1
42,yasni muliati58,"Bapak Kapolda Riau Yth. Boleh saya saran ya, ntar hsl op densus 88 anti teror, dilaporkan sesegera mungkin kepada paduka yang mulia Fahri Hanzah di Jkt. Tembusannya baru kpd bapa Jokowi dan bapa Tito. Jujur sy kasihan pa, kira2 ada nazar pa Fahri Hamzah yg tdk terlaksana shg pernyataan2nya susah dimengerti walaupun sy mantan anak sekolahan jg pa. Apa krn sy bodoh atau dia yg kelewat pintar? ????? Caaaaaape deh.","yasni muliati58: Bapak Kapolda Riau Yth. Boleh saya saran ya, ntar hsl op densus 88 anti teror, dilaporkan sesegera mungkin kepada paduka yang mulia Fahri Hanzah di Jkt. Tembusannya baru kpd bapa Jokowi dan bapa Tito. Jujur sy kasihan pa, kira2 ada nazar pa Fahri Hamzah yg tdk terlaksana shg pernyataan2nya susah dimengerti walaupun sy mantan anak sekolahan jg pa. Apa krn sy bodoh atau dia yg kelewat pintar? ????? Caaaaaape deh.",1
43,Ardilla Dilla,"Kalo bisa pulang mas tv tititin kucing klo aku pulang ,kasih liat itu malah nggak bisa kasih senjata tajam","Ardilla Dilla: Kalo bisa pulang mas tv tititin kucing klo aku pulang ,kasih liat itu malah nggak bisa kasih senjata tajam",0
44,hero minathina,Alhamdulillah mulianya hati kami soqiya tapi ikut senang dgn para begal yg salah dalam konflik emak ku.... ckckck kg,hero minathina: Alhamdulillah mulianya hati kami soqiya tapi ikut senang dgn para begal yg salah dalam konflik emak ku.... ckckck kg,0
45,Mareta Aprilian,Dasar kau nya aja yang ditangani dengan teman kami dulu yang benar gak percaya,Mareta Aprilian: Dasar kau nya aja yang ditangani dengan teman kami dulu yang benar gak percaya,0
46,Gustian Valerian,Masya Allah. Jadi lah Ubah Selamat..Kemudian Pada Ibu yang Ramah lingling2 kuasa. Idepi super apa salahnya kan Gubernur itu perkosa.. biar kami resah pak.,Gustian Valerian: Masya Allah. Jadi lah Ubah Selamat..Kemudian Pada Ibu yang Ramah lingling2 kuasa. Idepi super apa salahnya kan Gubernur itu perkosa.. biar kami resah pak.,0
47,Lipz Babot's,Pengen nangis :'( Mulia sekali bapak ini.. Beliau seorang mualaf tpi baik hti .. Insya allah jika saya sukses nanti saya akan seperti beliau ..,Lipz Babot's: Pengen nangis :'( Mulia sekali bapak ini.. Beliau seorang mualaf tpi baik hti .. Insya allah jika saya sukses nanti saya akan seperti beliau ..,1
48,Bos Bassoka Bassoka,"Bojo ayu di ajak tinggal d kampung,  jempol   spa Wong jawa timur ","Bos Bassoka Bassoka: Bojo ayu di ajak tinggal d kampung,  jempol   spa Wong jawa timur ",0
49,Mikola Bima,"Udah kalo ada geng motor gerak dikit langsung ciduk aja, ntar keburu ada korban.","Mikola Bima: Udah kalo ada geng motor gerak dikit langsung ciduk aja, ntar keburu ada korban.",1
50,Cindy Melinda,Hadeh. Teori doang sih gampang. Baca aja sono dr buku. Ntar praktenya bisa ga lu? Capek dengerin retorika yg ga jelas program konkretnya gimana. Anies-sandi pls stop ngumbar kata2 yg sok prihatin ke masyarakat kecil,Cindy Melinda: Hadeh. Teori doang sih gampang. Baca aja sono dr buku. Ntar praktenya bisa ga lu? Capek dengerin retorika yg ga jelas program konkretnya gimana. Anies-sandi pls stop ngumbar kata2 yg sok prihatin ke masyarakat kecil,1
51,Ahmad Rizki Saputra,SEBENAR INDONESIA SELAMA BERPULUH TAHUN BERBUAH DGN KEMENANGAN PARTI PEMBANGKAN ....UGAP SALAHNYA BISA BEKERJA APA KABAR WAELEH,Ahmad Rizki Saputra: SEBENAR INDONESIA SELAMA BERPULUH TAHUN BERBUAH DGN KEMENANGAN PARTI PEMBANGKAN ....UGAP SALAHNYA BISA BEKERJA APA KABAR WAELEH,0
52,mpey ferdy,Proses pembuatan ekspde jokowi.,mpey ferdy: Proses pembuatan ekspde jokowi.,0
53,muhammad hamzah,"Ini kompas di bayar freeport yaa buat bikin acara ini? Kok receh banget ya? Tambang freeport harusnya milik bangsa indonesia, 100%...","muhammad hamzah: Ini kompas di bayar freeport yaa buat bikin acara ini? Kok receh banget ya? Tambang freeport harusnya milik bangsa indonesia, 100%...",1
54,king azad1927,Duh s ibu kerudung teh teu rapih,king azad1927: Duh s ibu kerudung teh teu rapih,1
55,Joko Umbaran,Hanya di Zonih yang Baik . Masih banyak pulau yang benar mana suaranya. akan siapa mereka boleh tinggal dan bahwa sebaik pemilu di kembalikan itu ? mungkin karena dia takut ya di hotel atau je katanya interview ada aja yang sok anak mudanya intel bareng ketek,Joko Umbaran: Hanya di Zonih yang Baik . Masih banyak pulau yang benar mana suaranya. akan siapa mereka boleh tinggal dan bahwa sebaik pemilu di kembalikan itu ? mungkin karena dia takut ya di hotel atau je katanya interview ada aja yang sok anak mudanya intel bareng ketek,0
56,Matahari Matahari,astgfrllllllllh pilpres kok koyo ae iki rasane,Matahari Matahari: astgfrllllllllh pilpres kok koyo ae iki rasane,1
57,Indah S.,Mualaf...dosanyta sprt yg di larang..bener bener terrorist maju terus anaknya. .. semoga masalah2  ya pak. Amin,Indah S.: Mualaf...dosanyta sprt yg di larang..bener bener terrorist maju terus anaknya. .. semoga masalah2  ya pak. Amin,0
58,Mr Mingei,mungkin ini jawaban yg sengaja di lakukan oleh petinggi partai atas kelakuan acta tanpa harus komen di media. semoga acta bisa mengambil sikap bijak dalam hal ini. dimana presiden tidak harus keluar istana untuk membicarakan hal politik dan hal lain sehingga membuang waktu presiden dalam bekerja.,Mr Mingei: mungkin ini jawaban yg sengaja di lakukan oleh petinggi partai atas kelakuan acta tanpa harus komen di media. semoga acta bisa mengambil sikap bijak dalam hal ini. dimana presiden tidak harus keluar istana untuk membicarakan hal politik dan hal lain sehingga membuang waktu presiden dalam bekerja.,1
59,Nuryi Nuryi,Klo di negara China hukumanya di dor bagi yg korup,Nuryi Nuryi: Klo di negara China hukumanya di dor bagi yg korup,1
60,Intan Nuraeni,wajar lah jadi pengemis  orang kota Brebes ...kebanyakan minesss okonomi .,Intan Nuraeni: wajar lah jadi pengemis  orang kota Brebes ...kebanyakan minesss okonomi .,1
61,Tita ni,maaf kan sudah masarkh pak ganjar.. semoga allah selalu melindungi pak yusuf hamka..smg sy bisa spt biadab dr Allah swt..,Tita ni: maaf kan sudah masarkh pak ganjar.. semoga allah selalu melindungi pak yusuf hamka..smg sy bisa spt biadab dr Allah swt..,0
62,Hevandz Luthor,Yaallah semoga ini jalan buat sodara2ku di palestina agar bisa bebas... Dan semua jalannya dari negriku tercinta indonesia... Semoga amanat ini digunakan sebaik2nya.. Maka dari itu aku akan tetap pilih jokowi agar palestina bisa bebas.. Dan pak jokowi masih berlanjut tugasnya dgn mentri2 nya.. Amin,Hevandz Luthor: Yaallah semoga ini jalan buat sodara2ku di palestina agar bisa bebas... Dan semua jalannya dari negriku tercinta indonesia... Semoga amanat ini digunakan sebaik2nya.. Maka dari itu aku akan tetap pilih jokowi agar palestina bisa bebas.. Dan pak jokowi masih berlanjut tugasnya dgn mentri2 nya.. Amin,1
63,Umi Nadiroh,"Pahala begini ini. Bener kalo mau - 4 debat dewasa aja udah otak, pake pesawat di bilang Pahala Anda (tidak dibela silakan Ahok tapi kenapa di Timur engkau beri saya terhadap saya..?","Umi Nadiroh: Pahala begini ini. Bener kalo mau - 4 debat dewasa aja udah otak, pake pesawat di bilang Pahala Anda (tidak dibela silakan Ahok tapi kenapa di Timur engkau beri saya terhadap saya..?",0
64,MAULANAMALIK IBRAHIM,Sistem nya harunya satu untuk semua.. jadi kalo ada 1 oknum berbuat seperti itu maka satu kantor dapat hukuman sama.. jadi mereka bekerja dalam 1 team yang harus bisa saling mengingatkan / menegur jika ada yang salah. Terimakasih,MAULANAMALIK IBRAHIM: Sistem nya harunya satu untuk semua.. jadi kalo ada 1 oknum berbuat seperti itu maka satu kantor dapat hukuman sama.. jadi mereka bekerja dalam 1 team yang harus bisa saling mengingatkan / menegur jika ada yang salah. Terimakasih,1
65,Tini Oppo91,brengsek bener2 biadab ibliss..skr laki2 kayak iblis,Tini Oppo91: brengsek bener2 biadab ibliss..skr laki2 kayak iblis,1
66,Caroline Mia,"Tuhan berkati anak nya.... ""MAMPAR TO BUKTI  NEGARA ITU  PENGUSAHA YANG JELAS PERBOHUAKAN,,,, TDK TETAP TAK TERIMA","Caroline Mia: Tuhan berkati anak nya.... ""MAMPAR TO BUKTI  NEGARA ITU  PENGUSAHA YANG JELAS PERBOHUAKAN,,,, TDK TETAP TAK TERIMA",0
67,wong tani,Plaku nya di hukum tembak mati aja....,wong tani: Plaku nya di hukum tembak mati aja....,1
68,Yustin Eliona,Trimakasih warga jateng pilih pak ganjar alhamdulillah,Yustin Eliona: Trimakasih warga jateng pilih pak ganjar alhamdulillah,1
69,fuad suazi,Hati sy bergetar haru..apabila bangsa serumpun melayu ini bersatu menjalin keakraban.tali silaturokhim.,fuad suazi: Hati sy bergetar haru..apabila bangsa serumpun melayu ini bersatu menjalin keakraban.tali silaturokhim.,1
70,TEIN Studio,"Saat kamu Percaya, maka Terjadilah.","TEIN Studio: Saat kamu Percaya, maka Terjadilah.",1
71,Heny Anida,"Liat ja pak MT , matanya kiswinar,dan sekilas dari bibir kiswinar ketika senyum itu mirip sekali dgn anda pak MT","Heny Anida: Liat ja pak MT , matanya kiswinar,dan sekilas dari bibir kiswinar ketika senyum itu mirip sekali dgn anda pak MT",1
72,SMARTO,Woi....ini bisa terwujud ...sehingga orang seperti ini jadi saya lewat...sungguh aneh.,SMARTO: Woi....ini bisa terwujud ...sehingga orang seperti ini jadi saya lewat...sungguh aneh.,0
73,Panji Fitria,Gw prediksi Tanpan pratama .. as mak ganteng itu tugasnya ,Panji Fitria: Gw prediksi Tanpan pratama .. as mak ganteng itu tugasnya ,0
74,Muhammad Wilsa,Hahaha bocah..cik ath geus teu usum gangster2an teh..,Muhammad Wilsa: Hahaha bocah..cik ath geus teu usum gangster2an teh..,1
75,ibrahil tarigan,Jika ini bener2 kreatif. But hati ini rumah bersama rakyat minta dan dikuatkan isis,ibrahil tarigan: Jika ini bener2 kreatif. But hati ini rumah bersama rakyat minta dan dikuatkan isis,0
76,Joni Tirta,"Kasihan masih kecil otaknya sdh di masuki paham radikal,cari dalangnya,beri hukuman seberat beratnya krn sdh merusak calon generasi penerus.","Joni Tirta: Kasihan masih kecil otaknya sdh di masuki paham radikal,cari dalangnya,beri hukuman seberat beratnya krn sdh merusak calon generasi penerus.",1
77,Arifin FZ,"Gila yang menarik dibawa mata nya berduka , smoga korban diterima disisinya .....aminnnnnnnn","Arifin FZ: Gila yang menarik dibawa mata nya berduka , smoga korban diterima disisinya .....aminnnnnnnn",0
78,Ti Ya,akoe wong jawa timur ikut Bahagia selamat buat pak Ganjar pranowo & selamat mengemban tugas,Ti Ya: akoe wong jawa timur ikut Bahagia selamat buat pak Ganjar pranowo & selamat mengemban tugas,1
79,Uibouo AK.,Jangan pake alasan bercanda lagi yaaa... ,Uibouo AK.: Jangan pake alasan bercanda lagi yaaa... ,1
80,Mindzee Santring Pendek,tetap semangat ByK dan keturan .. hahahahahahahahahaha,Mindzee Santring Pendek: tetap semangat ByK dan keturan .. hahahahahahahahahaha,0
81,da satria,Mantapp pak dedi legowo banget mesti batas kerja celana masalahnya buat apa,da satria: Mantapp pak dedi legowo banget mesti batas kerja celana masalahnya buat apa,0
82,alex adela,Saya Bukan Panjang umur ya pak...,alex adela: Saya Bukan Panjang umur ya pak...,0
83,Telo gantong,"semoga penguasa kaya, para konglomerat seluruh indonesia bisa meniru bapk ini, setiap hari..","Telo gantong: semoga penguasa kaya, para konglomerat seluruh indonesia bisa meniru bapk ini, setiap hari..",1
84,Fabian Ade,Krn pelakunya org dalam jd sgt mgkn tjadi dgn mudah dalam hal ini.,Fabian Ade: Krn pelakunya org dalam jd sgt mgkn tjadi dgn mudah dalam hal ini.,1
85,one siihting,yg jelas ni orang gk penting... abis tuh d,one siihting: yg jelas ni orang gk penting... abis tuh d,0
86,Cahaya Affan,Mahasiswa otak teroris yang masih hidup semakin sekap di rumah pihak ?,Cahaya Affan: Mahasiswa otak teroris yang masih hidup semakin sekap di rumah pihak ?,0
87,adlan hermansyah,Kalau diizinin semua tahanan juga hrs diizinin dong aneh aneh aja ini bpk,adlan hermansyah: Kalau diizinin semua tahanan juga hrs diizinin dong aneh aneh aja ini bpk,1
88,hilda ayu,ternyata mario abis bilang gak berkumis ini posting foto mudanya diinstagram brewokan.. pak mario.. anda ketauan,hilda ayu: ternyata mario abis bilang gak berkumis ini posting foto mudanya diinstagram brewokan.. pak mario.. anda ketauan,1
89,Muhamad Rubisa,Hahahahahaha ... sikat ajah udah... ,Muhamad Rubisa: Hahahahahaha ... sikat ajah udah... ,0
90,Cindy Li,"Melan pistol sepuasnya,anak apapun gax mengakui kalau dia ga akan pernah berfihak pasti akan ada menuduh selingkuh dengan sejarah kelam rumahnya. Membunuh nya. Ada yang tidak mau PANCENG HAMIL be FAIRB SE IG INTIMIDASI WIRU WIA BARU KAMU BUAT BAKAR BAMBUNG","Cindy Li: Melan pistol sepuasnya,anak apapun gax mengakui kalau dia ga akan pernah berfihak pasti akan ada menuduh selingkuh dengan sejarah kelam rumahnya. Membunuh nya. Ada yang tidak mau PANCENG HAMIL be FAIRB SE IG INTIMIDASI WIRU WIA BARU KAMU BUAT BAKAR BAMBUNG",0
91,Mr joker Sella,semuga pak mahfud md bisa terpilih menjadi cawapress.visi.misi seiring dengan pak presiden pak jokowi,Mr joker Sella: semuga pak mahfud md bisa terpilih menjadi cawapress.visi.misi seiring dengan pak presiden pak jokowi,1
92,Kamal Almaida,Biarpun pendatang tepi mereka tetap warga Indonesia dan tetap tinggal di Indonesia mereka mencari nafkah kenapa hari di bedakan dengan penduduk asli...berlakulah keadilan sosial bagi seluruh rakyat Indonesia....,Kamal Almaida: Biarpun pendatang tepi mereka tetap warga Indonesia dan tetap tinggal di Indonesia mereka mencari nafkah kenapa hari di bedakan dengan penduduk asli...berlakulah keadilan sosial bagi seluruh rakyat Indonesia....,1
93,aceng darma,Data berapa bro?tek aje ya kang,aceng darma: Data berapa bro?tek aje ya kang,0
94,Muhammad  jaelani,"mntang2pun wowo lebih baik gk skus atau ngajak nyinyir..emang enak lo makanya banyak orang yg keliatan beda, orang yang terlibat bodoh yang pilih calon yg jual fatwa fardhu aind think agais. Np sby yg jadi geneees. ","Muhammad  jaelani: mntang2pun wowo lebih baik gk skus atau ngajak nyinyir..emang enak lo makanya banyak orang yg keliatan beda, orang yang terlibat bodoh yang pilih calon yg jual fatwa fardhu aind think agais. Np sby yg jadi geneees. ",0
95,Ficky Prastiya,nih kbr brayy krab aku lepas...masa kyk titik lemah up pakde,Ficky Prastiya: nih kbr brayy krab aku lepas...masa kyk titik lemah up pakde,0
96,5 M,untuk sementara ini sudah tau persatu.... cinta dunia ....hallahuakbar,5 M: untuk sementara ini sudah tau persatu.... cinta dunia ....hallahuakbar,0
97,Rico Indrawan,"astofiru di bayar jg mau di tilang,apa gak ngajak jngan selesai.kalo bnyk pemeluknya asal memikirkan registrasi ulang atau keluarganya. Penghina dan merusak nama orang lain","Rico Indrawan: astofiru di bayar jg mau di tilang,apa gak ngajak jngan selesai.kalo bnyk pemeluknya asal memikirkan registrasi ulang atau keluarganya. Penghina dan merusak nama orang lain",0
98,Gandes Goreng,Hollaztry Aminor g punya sqalim. P- Kodrat kita mesti diskip . Pemerintah baru bertindak memahami kenapa kembali seperti itu juga sih ? Pembunuh bayaran jg gw di hukum mati ,Gandes Goreng: Hollaztry Aminor g punya sqalim. P- Kodrat kita mesti diskip . Pemerintah baru bertindak memahami kenapa kembali seperti itu juga sih ? Pembunuh bayaran jg gw di hukum mati ,0
99,aji subrazara,Bandung ko samakin keluarga teroris  wkkw,aji subrazara: Bandung ko samakin keluarga teroris  wkkw,0
100,Troops Activity,hanya ada tempat 3 jari untuk membantu pendaftaran,Troops Activity: hanya ada tempat 3 jari untuk membantu pendaftaran,0
